"UID","hub","travel_time","hub_type","hub_status","population","racks"
15,2,29,"Conventional","Active",0.158893533248099,20
15,46,22,"Conventional","Active",0.158893533248099,10
15,47,25,"Conventional","Active",0.158893533248099,10
15,49,23,"Conventional","Active",0.158893533248099,7
15,50,11,"Conventional","Active",0.158893533248099,10
15,51,4,"Conventional","Active",0.158893533248099,10
15,52,12,"Conventional","Active",0.158893533248099,10
15,56,25,"Conventional","Active",0.158893533248099,5
15,71,13,"Conventional","Active",0.158893533248099,8
15,73,26,"Conventional","Active",0.158893533248099,11
15,103,5,"Conventional","Active",0.158893533248099,11
15,105,22,"Conventional","Active",0.158893533248099,10
15,106,14,"Conventional","Active",0.158893533248099,20
16,46,24,"Conventional","Active",0.791609865035445,10
16,47,27,"Conventional","Active",0.791609865035445,10
16,49,26,"Conventional","Active",0.791609865035445,7
16,50,14,"Conventional","Active",0.791609865035445,10
16,51,4,"Conventional","Active",0.791609865035445,10
16,52,15,"Conventional","Active",0.791609865035445,10
16,56,27,"Conventional","Active",0.791609865035445,5
16,71,15,"Conventional","Active",0.791609865035445,8
16,73,28,"Conventional","Active",0.791609865035445,11
16,103,8,"Conventional","Active",0.791609865035445,11
16,105,24,"Conventional","Active",0.791609865035445,10
16,106,16,"Conventional","Active",0.791609865035445,20
17,46,25,"Conventional","Active",1.37882321153484,10
17,47,27,"Conventional","Active",1.37882321153484,10
17,49,26,"Conventional","Active",1.37882321153484,7
17,50,14,"Conventional","Active",1.37882321153484,10
17,51,5,"Conventional","Active",1.37882321153484,10
17,52,15,"Conventional","Active",1.37882321153484,10
17,56,28,"Conventional","Active",1.37882321153484,5
17,71,16,"Conventional","Active",1.37882321153484,8
17,73,28,"Conventional","Active",1.37882321153484,11
17,103,8,"Conventional","Active",1.37882321153484,11
17,105,25,"Conventional","Active",1.37882321153484,10
17,106,16,"Conventional","Active",1.37882321153484,20
18,46,25,"Conventional","Active",1.42769202619619,10
18,47,28,"Conventional","Active",1.42769202619619,10
18,49,21,"Conventional","Active",1.42769202619619,7
18,50,15,"Conventional","Active",1.42769202619619,10
18,51,10,"Conventional","Active",1.42769202619619,10
18,52,9,"Conventional","Active",1.42769202619619,10
18,56,22,"Conventional","Active",1.42769202619619,5
18,71,16,"Conventional","Active",1.42769202619619,8
18,73,29,"Conventional","Active",1.42769202619619,11
18,103,9,"Conventional","Active",1.42769202619619,11
18,105,25,"Conventional","Active",1.42769202619619,10
