,output
cap_baseload_region1,33.366569
gen_baseload_region1,872428.64787
cap_peaking_region1,20.548395
gen_peaking_region1,191322.40204560093
cap_transmission_region1_region2,43.961439
cap_transmission_region1_region5,9.9535248
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1477897.44
cap_wind_region2,33.496377
gen_wind_region2,279929.93135471
cap_storage_energy_region2,1098.4103
cap_storage_power_region2,100.0
cap_transmission_region2_region3,11.003494
cap_baseload_region3,49.523703
gen_baseload_region3,1192027.8870259
cap_peaking_region3,47.832124
gen_peaking_region3,226828.09517321
cap_transmission_region3_region4,90.357667
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1437374.06
cap_transmission_region4_region5,12.112333
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,986843.3799999999
cap_wind_region5,109.77099
gen_wind_region5,1151135.5628147998
cap_storage_energy_region5,1331.9861
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,82.890272
cap_peaking_total,68.38051899999999
cap_wind_total,143.2673668984559
cap_storage_energy_total,2430.396483880299
cap_storage_power_total,300.0
cap_transmission_total,167.38845914570032
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2064456.534823496
gen_peaking_total,418150.496956778
gen_wind_total,1431065.4686326077
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3902114.88
emissions_total,580151508.8807044
cost_install,197547.90122852163
cost_operate,24969.1859887041
cost_total,222517.08721722572
num_ts,720.0
sum_ts_weights,26280.0
solution_time,41.114165
